Time	Volt	Ampere			
4.29905	9.75833	0.148017			
4.2991	9.755	0.1481			
4.29915	9.75333	0.148083			
4.2992	9.74917	0.147883			
4.29925	9.73167	0.147892			
4.2993	9.75	0.148108			
4.29935	9.75	0.147975			
4.2994	9.755	0.147775			
4.29945	9.74333	0.147817			
4.2995	9.745	0.148083			
4.29955	9.75167	0.148142			
4.2996	9.74167	0.148158			
4.29965	9.7575	0.148017			
4.2997	9.74417	0.148083			
4.29975	9.7475	0.148342			
4.2998	9.74417	0.148283			
4.29985	9.7525	0.147992			
4.2999	9.76083	0.148108			
4.29995	9.735	0.148175			
4.3	9.74833	0.147833			
4.30005	9.74	0.147592			
4.3001	9.755	0.147667			
4.30015	9.7525	0.147833			
4.3002	9.75083	0.147792			
4.30025	9.74667	0.1478			
4.3003	9.73	0.147833			
4.30035	9.7525	0.148033			
4.3004	9.7525	0.148417			
4.30045	9.755	0.148342			
4.3005	9.745	0.148125			
4.30055	9.74417	0.14835			
4.3006	9.75417	0.148275			
4.30065	9.7425	0.14795			
4.3007	9.7525	0.14775			
4.30075	9.7425	0.14775			
4.3008	9.74667	0.147833			
4.30085	9.745	0.147858			
4.3009	9.75	0.14765			
4.30095	9.75917	0.147808			
4.301	9.74167	0.148042			
4.30105	9.74833	0.1482			
4.3011	9.73917	0.148075			
4.30115	9.755	0.14825			
4.3012	9.75583	0.1485			
4.30125	9.75	0.148417			
4.3013	9.74833	0.148258			
4.30135	9.73333	0.148233			
4.3014	9.755	0.148192			
4.30145	9.74917	0.148308			
4.3015	9.75833	0.148175			
4.30155	9.745	0.147725			
4.3016	9.74333	0.147875			
4.30165	9.75167	0.148			
4.3017	9.74333	0.147875			
4.30175	9.76	0.147742			
4.3018	9.74417	0.147917			
4.30185	9.745	0.148083			
4.3019	9.745	0.148025			
4.30195	9.75083	0.147967			
4.302	9.76167	0.148083			
4.30205	9.74	0.148267			
4.3021	9.74833	0.148408			
4.30215	9.7375	0.1481			
4.3022	9.755	0.147717			
4.30225	9.755	0.148058			
4.3023	9.75083	0.1482			
4.30235	9.75083	0.147975			
4.3024	9.7325	0.147833			
4.30245	9.75167	0.14795			
4.3025	9.7525	0.148008			
4.30255	9.755	0.14795			
4.3026	9.74667	0.147858			
4.30265	9.74333	0.147917			
4.3027	9.75667	0.1482			
4.30275	9.75417	0.148092			
4.3028	9.7575	0.147775			
4.30285	9.74333	0.147842			
4.3029	9.74667	0.148183			
4.30295	9.74583	0.148233			
4.303	9.74917	0.14805			
4.30305	9.765	0.147967			
4.3031	9.745	0.147933			
4.30315	9.75	0.147967			
4.3032	9.7425	0.148092			
4.30325	9.7525	0.147883			
4.3033	9.755	0.147925			
4.30335	9.74667	0.148233			
4.3034	9.75417	0.14805			
4.30345	9.73917	0.1477			
4.3035	9.75667	0.147942			
4.30355	9.75083	0.148042			
4.3036	9.7525	0.14795			
4.30365	9.745	0.14775			
4.3037	9.74167	0.147683			
4.30375	9.75833	0.147883			
4.3038	9.74917	0.148117			
4.30385	9.75583	0.148233			
4.3039	9.7375	0.148175			
4.30395	9.74667	0.1484			
4.304	9.74833	0.148575			
4.30405	9.75083	0.148242			
4.3041	9.76583	0.148008			
4.30415	9.74417	0.148117			
4.3042	9.74833	0.148			
4.30425	9.7425	0.14785			
4.3043	9.75583	0.147617			
4.30435	9.755	0.147675			
4.3044	9.74583	0.147958			
4.30445	9.75333	0.148067			
4.3045	9.74	0.147883			
4.30455	9.75167	0.147883			
4.3046	9.755	0.148217			
4.30465	9.74917	0.14835			
4.3047	9.745	0.148242			
4.30475	9.73417	0.148233			
4.3048	9.75833	0.14835			
4.30485	9.74917	0.148233			
4.3049	9.75833	0.1481			
4.30495	9.745	0.147883			
4.305	9.7425	0.147917			
4.30505	9.74667	0.148183			
4.3051	9.74667	0.147933			
4.30515	9.7625	0.147425			
4.3052	9.745	0.147583			
4.30525	9.74667	0.147908			
4.3053	9.74333	0.147908			
4.30535	9.75167	0.147908			
4.3054	9.75833	0.14815			
4.30545	9.74333	0.148233			
4.3055	9.75167	0.148325			
4.30555	9.7375	0.148267			
4.3056	9.75417	0.148158			
4.30565	9.74833	0.148358			
4.3057	9.75417	0.148375			
4.30575	9.74417	0.148075			
4.3058	9.735	0.147758			
4.30585	9.75083	0.148			
4.3059	9.74667	0.148133			
4.30595	9.75583	0.147975			
4.306	9.745	0.148025			
4.30605	9.7425	0.1481			
4.3061	9.74667	0.14815			
4.30615	9.745	0.148108			
4.3062	9.76	0.147833			
4.30625	9.74417	0.147817			
4.3063	9.74667	0.148158			
4.30635	9.74417	0.148183			
4.3064	9.755	0.148083			
4.30645	9.75667	0.148008			
4.3065	9.74167	0.1482			
4.30655	9.74667	0.148325			
4.3066	9.74167	0.148267			
4.30665	9.755	0.148175			
4.3067	9.75333	0.148208			
4.30675	9.75333	0.148217			
4.3068	9.745	0.148158			
4.30685	9.735	0.147775			
4.3069	9.74917	0.14795			
4.30695	9.75083	0.148208			
4.307	9.7575	0.147925			
4.30705	9.74667	0.147742			
4.3071	9.7425	0.1478			
4.30715	9.74833	0.147867			
4.3072	9.745	0.148067			
4.30725	9.75667	0.148125			
4.3073	9.74333	0.148025			
4.30735	9.74833	0.148217			
4.3074	9.74333	0.14835			
4.30745	9.75583	0.1482			
4.3075	9.75833	0.147942			
4.30755	9.74167	0.1481			
4.3076	9.74667	0.1481			
4.30765	9.74	0.147717			
4.3077	9.75417	0.14755			
4.30775	9.75417	0.147667			
4.3078	9.75083	0.147825			
4.30785	9.74667	0.147917			
4.3079	9.73	0.147767			
4.30795	9.75417	0.147783			
4.308	9.75167	0.148108			
4.30805	9.7575	0.148317			
4.3081	9.74667	0.148242			
4.30815	9.7425	0.148258			
4.3082	9.75167	0.1485			
4.30825	9.745	0.148508			
4.3083	9.75667	0.148325			
4.30835	9.7375	0.148175			
4.3084	9.745	0.148058			
4.30845	9.7425	0.148108			
4.3085	9.7525	0.147983			
4.30855	9.755	0.147592			
4.3086	9.73833	0.1477			
4.30865	9.74417	0.14795			
4.3087	9.73833	0.147933			
4.30875	9.75167	0.147883			
4.3088	9.74917	0.148133			
4.30885	9.74917	0.148292			
4.3089	9.74333	0.148283			
4.30895	9.73833	0.1482			
4.309	9.755	0.148017			
4.30905	9.74917	0.148167			
4.3091	9.755	0.148375			
4.30915	9.74333	0.148033			
4.3092	9.74417	0.147783			
4.30925	9.74833	0.148017			
4.3093	9.74667	0.148033			
4.30935	9.76417	0.147767			
4.3094	9.7425	0.147642			
4.30945	9.745	0.147833			
4.3095	9.74333	0.14805			
4.30955	9.75417	0.14815			
4.3096	9.75667	0.1481			
4.30965	9.74083	0.148133			
4.3097	9.75083	0.148367			
4.30975	9.73667	0.1483			
4.3098	9.75417	0.1479			
4.30985	9.75333	0.147883			
4.3099	9.74833	0.148108			
4.30995	9.745	0.1481			
4.31	9.73083	0.148058			
4.31005	9.755	0.148017			
4.3101	9.75083	0.148			
4.31015	9.75417	0.148125			
4.3102	9.74167	0.148042			
4.31025	9.73833	0.14785			
4.3103	9.75	0.147975			
4.31035	9.7475	0.148067			
4.3104	9.75833	0.147883			
4.31045	9.7425	0.147708			
4.3105	9.74667	0.147942			
4.31055	9.74	0.148183			
4.3106	9.7525	0.148208			
4.31065	9.75833	0.148192			
4.3107	9.73833	0.148075			
4.31075	9.74417	0.148133			
4.3108	9.74	0.14845			
4.31085	9.75583	0.14835			
4.3109	9.75167	0.148208			
4.31095	9.74917	0.148342			
4.311	9.74333	0.148242			
4.31105	9.73167	0.14795			
4.3111	9.74917	0.147817			
4.31115	9.75167	0.148			
4.3112	9.7575	0.1481			
4.31125	9.74333	0.147983			
4.3113	9.74333	0.147817			
4.31135	9.75083	0.147783			
4.3114	9.74167	0.148008			
4.31145	9.75167	0.14835			
4.3115	9.74167	0.148192			
4.31155	9.745	0.1482			
4.3116	9.74083	0.148475			
4.31165	9.75333	0.148425			
4.3117	9.76	0.148217			
4.31175	9.7375	0.148042			
4.3118	9.74667	0.148117			
4.31185	9.73917	0.148192			
4.3119	9.75417	0.14795			
4.31195	9.75417	0.147592			
4.312	9.75083	0.147633			
4.31205	9.74833	0.147883			
4.3121	9.73333	0.147775			
4.31215	9.75417	0.147533			
4.3122	9.75167	0.147775			
4.31225	9.75583	0.147975			
4.3123	9.74333	0.148042			
4.31235	9.7425	0.14805			
4.3124	9.75	0.148158			
4.31245	9.74417	0.1484			
4.3125	9.75833	0.148583			
4.31255	9.74	0.148317			
4.3126	9.7475	0.147842			
4.31265	9.745	0.148025			
4.3127	9.75083	0.148133			
4.31275	9.75833	0.14775			
4.3128	9.74083	0.147508			
4.31285	9.74833	0.14765			
4.3129	9.73917	0.147792			
4.31295	9.7525	0.147858			
4.313	9.755	0.147783			
4.31305	9.74833	0.147983			
4.3131	9.75	0.148258			
4.31315	9.73583	0.148325			
4.3132	9.74833	0.14815			
4.31325	9.75417	0.148067			
4.3133	9.75417	0.148367			
4.31335	9.74417	0.148267			
4.3134	9.74167	0.14795			
4.31345	9.75333	0.147858			
4.3135	9.74583	0.147983			
4.31355	9.75833	0.148			
4.3136	9.7425	0.148083			
4.31365	9.74167	0.14785			
4.3137	9.7425	0.147933			
4.31375	9.75417	0.148183			
4.3138	9.75833	0.14795			
4.31385	9.735	0.147858			
4.3139	9.74667	0.1481			
4.31395	9.74	0.148217			
4.314	9.755	0.14815			
4.31405	9.7525	0.148017			
4.3141	9.7475	0.147967			
4.31415	9.745	0.1481			
4.3142	9.73167	0.148267			
4.31425	9.75333	0.148225			
4.3143	9.75	0.148008			
4.31435	9.75833	0.148183			
4.3144	9.74167	0.14835			
4.31445	9.74333	0.148008			
4.3145	9.74917	0.14785			
4.31455	9.75083	0.148075			
4.3146	9.765	0.148067			
4.31465	9.745	0.148025			
4.3147	9.7475	0.147783			
4.31475	9.7475	0.147658			
4.3148	9.75583	0.147925			
4.31485	9.75667	0.147967			
4.3149	9.7425	0.147925			
4.31495	9.74833	0.147883			
4.315	9.73833	0.148183			
4.31505	9.7575	0.148342			
4.3151	9.75083	0.148292			
4.31515	9.7525	0.148283			
4.3152	9.74667	0.148367			
4.31525	9.735	0.148217			
4.3153	9.74833	0.148108			
4.31535	9.75167	0.1478			
4.3154	9.755	0.147667			
4.31545	9.74333	0.147917			
4.3155	9.7425	0.147775			
4.31555	9.75	0.147567			
4.3156	9.74583	0.147792			
4.31565	9.75583	0.1481			
4.3157	9.745	0.148217			
4.31575	9.74833	0.148308			
4.3158	9.745	0.148283			
4.31585	9.75417	0.148342			
4.3159	9.75833	0.148408			
4.31595	9.73833	0.148275			
4.316	9.74333	0.148033			
4.31605	9.74167	0.148208			
4.3161	9.75583	0.148325			
4.31615	9.7525	0.147892			
4.3162	9.75	0.147625			
4.31625	9.74667	0.147775			
4.3163	9.7325	0.147867			
4.31635	9.75333	0.1478			
4.3164	9.75083	0.147783			
4.31645	9.75833	0.147883			
4.3165	9.74583	0.148167			
4.31655	9.74417	0.148292			
4.3166	9.75167	0.148092			
4.31665	9.745	0.148			
4.3167	9.75833	0.1483			
4.31675	9.74417	0.148183			
4.3168	9.74417	0.1478			
4.31685	9.74333	0.14775			
4.3169	9.75167	0.147908			
4.31695	9.76	0.148067			
4.317	9.73583	0.14785			
4.31705	9.74667	0.147667			
4.3171	9.73917	0.1477			
4.31715	9.75667	0.147975			
4.3172	9.75583	0.148058			
4.31725	9.75	0.14785			
4.3173	9.75	0.148125			
4.31735	9.73333	0.1484			
4.3174	9.755	0.148208			
4.31745	9.75417	0.148092			
4.3175	9.7575	0.148192			
4.31755	9.74667	0.148225			
4.3176	9.73917	0.148258			
